"","x"
"1","Arrival_Time_9"
"2","Arrival_Ed_10"
"3","Unresolved_Issues_D_T_20"
"4","Ems_Interface_Flag_21"
"5","Admissions_Track_Flag_22"
"6","Discharge_Billing_Needed_23"
"7","Send_A08_Flag_28"
"8","Last_Transaction_Received_29"
"9","Age_Dob_40"
"10","Age_42"
"11","Hc_Expiration_Date_71"
"12","Last_Visit_213"
"13","Status_Md_Sr_Review_214"
"14","Status_T2_215"
"15","Ems_Offload_D_T_216"
"16","Uc_Wt_Rm_Assgnmnt_217"
"17","Created_Record_219"
"18","Arrival_His_220"
"19","Status_Enrt_221"
"20","Status_Triage_222"
"21","Status_Wt_Rm_223"
"22","Emerg_Bed_Assgnmnt_225"
"23","Status_Ptgone_227"
"24","Status_Na_1_228"
"25","Status_Na_2_229"
"26","Status_Na_3_230"
"27","Status_Elope_231"
"28","Status_Rn_Evl_232"
"29","Status_Md_Evl_234"
"30","Status_Md_Rm_237"
"31","Status_Ord_First_238"
"32","Status_Ord_Last_239"
"33","Status_Ord_Entrd_First_240"
"34","Status_Ord_Entrd_Last_241"
"35","Status_Rn_Rev_242"
"36","Status_Md_Rev_244"
"37","Status_Admit_Request_245"
"38","Status_Admt_Bed_247"
"39","Status_Admt_Ready_248"
"40","Status_Ed_Tx_249"
"41","Status_Admt_Hold_250"
"42","Status_Admt_Trans_251"
"43","Status_Cnslt_Pnd_252"
"44","Status_Dsch_253"
"45","Status_Dsch_Ds_254"
"46","Status_Dsch_Tx_255"
"47","Status_Trnsfr_256"
"48","Status_Direct_257"
"49","Status_Rmchk_258"
"50","Status_Psa_Clean_259"
"51","Ets_260"
"52","Triage_Rn_Name_Entrd_263"
"53","Eval_Rn_Name_Entrd_264"
"54","Trainee_Name_Entrd_266"
"55","Staff_Md_Name_Entrd_267"
"56","Orders_Processed_First_268"
"57","Orders_Processed_Last_269"
"58","Rn_Doc_Prntd_272"
"59","Discharge_Time_276"
"60","Rn_Checkout_D_T_279"
"61","Time_Left_Ed_280"
"62","Added_To_Admissions_Track_284"
"63","Admit_286"
"64","Deleted_Record_287"
"65","Rmvd_From_Pt_Track_288"
"66","Rmvd_From_Ui_Track_289"
"67","Discharge_Billing_Cmpltd_291"
"68","R_A_294"
"69","Rslts_296"
"70","Rn_299"
"71","Lab_308"
"72","Rad_310"
"73","Micro_318"
"74","Vs_319"
"75","Added_D_T_Rsrch_Cndt_347"
"76","Effective_Pt_Left_Ed_Flag_529"
"77","Dob_Label_3_543"
"78","Status_Orders_Ack_593"
"79","Status_Orders_Stat_594"
"80","Status_Admit_Pending_595"
"81","Updated_Discharge_Time_596"
"82","Triage_Complete_597"
"83","Status_Mla_Bldwk_598"
"84","Ctas_D_T_599"
"85","Status_Mla_Assist_600"
"86","Status_Mla_Flow_601"
"87","Status_Mla_Ack_602"
"88","Enroute_Flag_603"
"89","Full_Reg_Time_604"
"90","Npia_605"
"91","Pia_Npia_606"
"92","Quick_Reg_Time_607"
"93","Pia_Temp_609"
"94","Discharge_Temp_610"
"95","Status_Cls_Consult_611"
"96","Form_Generated_613"
"97","Rm_No_Pia_614"
"98","Order_Form_Printed_615"
"99","Sepsis_Screening_Triage_616"
"100","Sepsis_Screening_Positive_617"
"101","Date_Time_035_619"
"102","Date_Time_036_620"
"103","Date_Time_037_621"
"104","Rst_Flag_622"
"105","Sent_A08_623"
"106","Arrival_Label_2_624"
"107","Arrival_Label_3_625"
"108","Dob_Label_2_626"
"109","Status_Cdu_Admit_Request_750"
"110","Cdu_Admit_D_T_751"
"111","Emar_Hlt_D_T_752"
"112","Status_Cdu_Admit_753"
"113","Status_Emt_Ecg_754"
"114","Status_Emt_Poct_755"
"115","Status_Kidcare_Orders_756"
"116","Status_Bedside_Registratio_757"
"117","Status_Direct_To_Room_Dtr_758"
"118","Status_Sw_Consult_759"
"119","Sw_Consult_Start_Time_760"
"120","Sw_Consult_End_Time_761"
